event_time,event_note,window_start,window_end,glucose_max,glucose_min,glucose_auc,glucose_rate_rise,glucose_rate_fall,exercise_within_3h,meal_time_category,meal_type,source,estimated_total_weight_g,llm_notes,Segmented List,Protein,Carbs,Fat,Calories
7/4/2022 13:17,"MBR pork bone soup, romaine lettuce, gnocchi creamy sauce",7/4/2022 13:17,7/4/2022 15:13,131,85,26.19166667,66.03550296,-81.83431953,0,2,meal,homemade,520,"Full plate with soup, greens, and pasta.","[""pork bone soup"", ""romaine lettuce"", ""gnocchi creamy sauce""]",22,60,18,540
7/4/2022 15:13,Snack pastry egg tart durian choux,7/4/2022 15:13,7/4/2022 17:13,109,90,15.45,28,-28.38351823,1,2,snack,processed,230,Dense sweet pastry mix; larger snack.,"[""pastry"", ""egg tart"", ""durian choux""]",5,45,25,480
7/4/2022 20:14,"Kimchi Dumpling, maitake mushroom, spinach eggplant masala, ice cream",7/4/2022 20:14,7/4/2022 22:14,169,108,86.625,98,-112,0,4,meal,homemade,520,"Mixed plate with veg, spice, and dessert.","[""kimchi dumpling"", ""maitake mushroom"", ""spinach"", ""eggplant masala"", ""ice cream""]",14,58,20,565
7/5/2022 14:42,Rice chicken fried egg roti tofu veggies,7/5/2022 14:42,7/5/2022 16:42,154,79,54.19166667,114,-48,0,2,meal,homemade,520,Balanced protein + starch + veg + fried egg.,"[""rice"", ""chicken"", ""fried egg"", ""roti"", ""tofu"", ""veggies""]",38,64,24,670
7/5/2022 21:26,"Pizza, ceviche, maitake mushroom",7/5/2022 21:26,7/5/2022 23:26,138,97,53.76666667,64,-46,0,5,meal,homemade,520,"Dense multi-protein, light veg meal.","[""pizza"", ""ceviche"", ""maitake mushroom""]",32,55,18,580
7/6/2022 14:04,Pempek & quinoa salad,7/6/2022 14:04,7/6/2022 15:38,177,94,68.775,138,-111.251981,0,2,meal,homemade,520,Balanced fermented fish + starch + veg.,"[""pempek"", ""quinoa salad""]",28,52,16,520
7/6/2022 15:38,Potato chip,7/6/2022 15:38,7/6/2022 17:38,115,96,28.125,14,-38,0,2,snack,processed,195,Classic processed snack.,"[""potato chip""]",3,32,28,480
7/6/2022 20:33,"Pempek, quinoa salad",7/6/2022 20:33,7/6/2022 22:33,130,86,40.75,72,-56,0,4,meal,homemade,520,Same as above (repeated).,"[""pempek"", ""quinoa salad""]",28,52,16,520
7/7/2022 12:38,Ceviche on salad bed,7/7/2022 12:38,7/7/2022 14:38,110,93,25.43333333,28,-12,0,2,meal,homemade,520,Lean protein + greens = complete light meal.,"[""ceviche"", ""salad""]",25,12,8,330
7/7/2022 15:04,Brown rice cracker,7/7/2022 15:04,7/7/2022 17:04,163,103,72.26666667,90.76069731,-96,0,2,snack,processed,110,"Light crunchy snack, scaled down.","[""brown rice cracker""]",2,15,3,130
7/7/2022 19:48,Chipotle bowl,7/7/2022 19:48,7/7/2022 21:48,138,92,39.18333333,78,-73.977813,1,4,meal,restaurant,585,Standard full Chipotle entrée,"[""chipotle bowl""]",35,60,22,720
7/8/2022 13:02,Chipotle bowl,7/8/2022 13:02,7/8/2022 15:02,168,96,68.825,122,-120.1426307,0,2,meal,restaurant,585,Standard full Chipotle entrée,"[""chipotle bowl""]",35,60,22,720
7/8/2022 17:00,Potato chip,7/8/2022 17:00,7/8/2022 19:00,124,95,49.125,56,-6,0,3,snack,processed,195,Single salty packaged snack,"[""potato chip""]",3,32,28,480
7/8/2022 21:35,Salmon asparagus broccoli carrot cauliflower,7/8/2022 21:35,7/8/2022 23:35,128,93,36.48333333,54.00950872,-38.65464632,0,5,meal,homemade,520,Protein + multiple vegetables — full clean meal,"[""salmon"", ""asparagus"", ""broccoli"", ""carrot"", ""cauliflower""]",40,20,10,450
7/9/2022 11:40,"Kuih x4, fish ball, fried tofu",7/9/2022 11:40,7/9/2022 13:29,229,85,107.775,183.9936609,-238,0,2,meal,homemade,520,"Dense starch, protein, and tofu — complete meal","[""kuih"", ""fish ball"", ""fried tofu""]",37,57,19,720
7/9/2022 13:29,"Sandwich pesto, pasta, salad, chicken sandwich",7/9/2022 13:29,7/9/2022 15:29,111,85,22.7,46,-40,1,2,meal,homemade,520,Two sandwich items + sides — balanced meal,"[""pesto sandwich"", ""pasta"", ""salad"", ""chicken sandwich""]",42,75,28,810
7/9/2022 21:30,"Chickfila sandwich, veggies",7/9/2022 21:30,7/9/2022 23:30,137,102,47.96666667,54,-54,0,5,meal,restaurant,520,Fast food sandwich plus veg,"[""chickfila sandwich"", ""veggies""]",35,40,20,600
7/10/2022 12:52,"Quinoa salad, broccoli/cauliflower, chicken chickfila, spring mix",7/10/2022 12:52,7/10/2022 14:52,144,100,55.45833333,84,-63.94611727,0,2,meal,homemade,520,Clean protein + grains + greens,"[""quinoa salad"", ""broccoli/cauliflower"", ""chicken chickfila"", ""spring mix""]",38,55,16,620
7/10/2022 16:01,Kueh,7/10/2022 16:01,7/10/2022 18:01,146,101,63.625,62,-52,0,3,snack,processed,140,Sweet rice dessert — light snack,"[""kueh""]",3,28,4,200
7/10/2022 21:06,"Soto betawi, white rice, chilli tofu tempeh ",7/10/2022 21:06,7/10/2022 23:06,147,99,59.95,88,-67.46434231,1,5,meal,homemade,520,Balanced soup + protein + grains,"[""soto betawi"", ""white rice"", ""chilli tofu"", ""tempeh""]",38,45,20,600
7/11/2022 13:14,"Tempeh tofu, soto betawi",7/11/2022 13:14,7/11/2022 15:14,119,99,37.20833333,39.22345483,-20,0,2,meal,homemade,520,Protein + soup = balanced meal,"[""tempeh"", ""tofu"", ""soto betawi""]",38,17,23,470
7/11/2022 19:52,"Soto betawi, tofu tempeh",7/11/2022 19:52,7/11/2022 20:23,99,94,1.625,,,0,4,meal,homemade,520,Similar to above,"[""soto betawi"", ""tofu"", ""tempeh""]",38,17,23,470
7/11/2022 20:23,Rice at the end of meals with furikake,7/11/2022 20:23,7/11/2022 22:23,176,115,111.5,90,-54,0,4,light,homemade,250,Small rice portion with seasoning,"[""rice"", ""furikake""]",3,38,2,190
7/12/2022 8:59,Kombucha,7/12/2022 8:59,7/12/2022 10:59,135,88,35.95,86,-56,0,1,drink,processed,325,Beverage-only entry,"[""kombucha""]",0,15,0,60
7/12/2022 12:40,"Soto betawi, white rice, tofu tempeh",7/12/2022 12:40,7/12/2022 14:40,167,95,88.5,100,-66,0,2,meal,homemade,520,Full protein + carb + soup meal,"[""soto betawi"", ""white rice"", ""tofu"", ""tempeh""]",38,45,20,600
7/12/2022 21:20,"Pesto pasta, chicken, salad, tomato, cucumber",7/12/2022 21:20,7/12/2022 23:20,133,103,48.875,52,-32,0,5,meal,homemade,520,Full plate: starch + protein + veg,"[""pesto pasta"", ""chicken"", ""salad"", ""tomato"", ""cucumber""]",39,51,10,570
7/13/2022 11:37,Soto betawi,7/13/2022 11:37,7/13/2022 13:37,128,95,39.73333333,38,-41.17274168,0,2,meal,homemade,400,Soup alone — still interpreted as light meal,"[""soto betawi""]",6,6,8,150
7/13/2022 21:01,"Pesto pasta, salad",7/13/2022 21:01,7/13/2022 23:01,136,83,41.01666667,42,14,0,5,meal,homemade,520,Balanced carb + veg meal,"[""pesto pasta"", ""salad""]",9,48,5,310
7/14/2022 15:12,Chipotle bowl,7/14/2022 15:12,7/14/2022 17:12,150,91,71.125,74,-24,0,2,meal,restaurant,585,Restaurant entrée,"[""chipotle bowl""]",35,60,22,720
